window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,63,4.228,-0.0002,0.8571,32.409,0.001,7,11.45,10010.25
2,63,-2.521,-0.0023,0.2308,0.505,-0.0018,13,-16.55,9992.46
3,63,1.035,-0.0002,0.375,2.185,0.0002,8,2.46,9994.48
4,63,-0.932,-0.0005,0.5,0.696,-0.0002,6,-1.33,9992.79
5,63,0.254,-0.0003,0.5,1.417,0.0,8,0.79,9993.1
6,63,3.026,-0.0002,0.5455,7.059,0.0005,11,6.09,9998.13
7,63,1.325,-0.0008,0.45,1.471,0.0004,20,5.21,10002.34
8,63,0.31,-0.0002,0.6,1.179,0.0,10,0.74,10002.81
9,63,2.734,-0.0002,0.875,3.537,0.0005,8,4.93,10007.26
10,63,1.438,-0.0005,0.8182,1.922,0.0004,11,4.52,10011.09
11,63,0.896,-0.0005,0.6667,1.624,0.0003,15,4.23,10014.07
12,63,2.2,-0.0005,1.0,inf,0.0007,4,7.35,10021.0
13,63,1.911,-0.0009,0.75,5.006,0.0009,4,9.26,10029.61
14,63,0.359,-0.0011,0.7,1.357,0.0002,10,3.02,10031.44
15,63,-1.392,-0.0017,0.3333,0.473,-0.0008,6,-7.86,10022.96
16,63,-3.281,-0.0009,0.2,0.209,-0.0008,15,-7.79,10014.69
17,63,-2.944,-0.0003,0.2,0.413,-0.0003,10,-2.53,10011.81
18,63,-2.038,-0.0003,0.3846,0.45,-0.0003,13,-2.27,10009.09
19,63,0.976,-0.0003,0.5,1.679,0.0002,10,2.22,10010.73
20,63,1.189,-0.0002,0.6667,3.954,0.0001,6,1.63,10012.03
21,63,1.756,-0.0002,0.4,2.786,0.0002,10,3.03,10014.28
22,63,-2.155,-0.0003,0.2857,0.451,-0.0002,7,-1.84,10011.96
23,63,2.618,-0.0001,0.7273,3.353,0.0004,11,4.5,10015.52
24,63,0.514,-0.0002,0.8333,2.501,0.0001,6,1.04,10016.05
25,63,0.015,-0.0005,0.3333,1.142,0.0,9,0.77,10016.08
26,63,0.325,-0.0005,0.6,1.276,0.0001,5,1.49,10017.03
27,63,-0.977,-0.0015,0.5,0.165,-0.0005,2,-5.19,10011.59
28,63,3.722,-0.0002,0.8333,9.445,0.0011,6,11.33,10022.6
29,63,3.511,-0.0006,1.0,inf,0.0017,3,17.3,10039.41
30,63,-0.841,-0.0008,0.4,0.677,-0.0004,5,-3.5,10035.25
